Niño,Grupo,Edad,Emparejamiento_emocion_RC,Emparejamiento_emocion_TR,Memoria_emocion_RC,Memoria_emocion_TR,Emparejamiento_identidad_RC,Emparejamiento_identidad_TR,Memoria_identidad_RC,Memoria_identidad_TR,emocion emp,emocion mem,pre/post,Tipo emp emoción,Omisión emp emoción,Comisión emp emoción,Tipo mem emoción,Omisión mem emoción,Comisión mem emoción,Tipo emp identidad,Omisión emp identidad,Comisión emp identidad,Tipo mem identidad,Omisión mem identidad,Comisión mem identidad
SFN10M,Grupo identidad,10,0,,1,1.947011223,1,2.364379223,1,1.064225109,Tristeza,Tristeza,Pre,Omisión,100,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.770102791,1,1.95095591,1,2.058141561,1,1.034323712,Enojo,Enojo,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,2.400615031,1,1.664749829,1,2.401325747,0,1.196355323,Enojo,Tristeza,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Comisión,0,100
SFN10M,Grupo identidad,10,1,2.920664588,0,,1,2.451489835,0,0.00029037,Alegría,Alegría,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Comisión,0,100
SFN10M,Grupo identidad,10,1,2.889896032,1,1.324804751,1,3.046510562,1,0.929882552,Enojo,Enojo,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,1.830997139,1,1.533523911,1,1.817090192,0,,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Omisión,100,0
SFN10M,Grupo identidad,10,1,3.511161073,0,,1,2.736719324,0,,Alegría,Tristeza,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Omisión,100,0
SFN10M,Grupo identidad,10,1,3.511973319,1,1.20488272,1,1.884807643,1,0.948935172,Tristeza,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.950692799,1,1.448918382,1,2.139984822,0,,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Omisión,100,0
SFN10M,Grupo identidad,10,0,,1,1.641737116,1,3.011036431,1,1.665957137,Enojo,Alegría,Pre,Omisión,100,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,3.770361161,1,1.093807691,1,3.078621141,1,1.042104049,Tristeza,Enojo,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,3.022932911,1,1.140353019,1,3.121535856,0,1.299476978,Enojo,Alegría,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Comisión,0,100
SFN10M,Grupo identidad,10,1,2.921387155,1,1.485003672,1,3.228499877,1,1.084296987,Alegría,Enojo,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,2.129714019,1,1.440247972,1,2.673505967,1,1.131904634,Enojo,Tristeza,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,2.683280968,0,,1,2.779884903,1,1.317268957,Enojo,Tristeza,Pre,Comisión,0,100,Omisión,100,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.077384205,1,1.50278696,1,3.122424744,1,1.378596292,Tristeza,Enojo,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,3.440165799,0,1.435320373,1,2.900515278,0,,Enojo,Enojo,Pre,Comisión,0,100,Comisión,0,100,Acierto,0,0,Omisión,100,0
SFN10M,Grupo identidad,10,1,2.878745823,1,1.186096372,1,2.191840958,1,0.716790854,Tristeza,Enojo,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,3.226602003,0,1.961571206,0,,1,0.9736905,Tristeza,Tristeza,Pre,Acierto,0,0,Comisión,0,100,Omisión,100,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,1.770474544,1,1.377851997,1,1.797724684,1,1.495257487,Tristeza,Enojo,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,3.258754459,1,1.815481108,0,1.972930797,1,1.237438928,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Comisión,0,100,Acierto,0,0
SFN10M,Grupo identidad,10,1,3.873128052,0,,1,2.575714873,1,0.786210624,Enojo,Tristeza,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.531678185,1,1.680227144,1,1.93151376,0,1.050197274,Alegría,Tristeza,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Comisión,0,100
SFN10M,Grupo identidad,10,0,3.684351584,1,1.945768361,1,3.11089014,1,1.548202017,Tristeza,Enojo,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.483251575,1,1.385315099,1,1.842252039,1,1.050849915,Alegría,Tristeza,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.806807143,1,1.62396726,1,2.29307264,1,1.304844281,Tristeza,Enojo,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.777005696,0,,1,1.804688824,1,1.103783383,Enojo,Alegría,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.00767487,1,1.91842759,1,2.923246162,1,1.317759856,Tristeza,Alegría,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,1.645553498,1,1.425542262,1,2.927870363,1,1.034187879,Alegría,Tristeza,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.232027443,1,1.244855502,1,2.236905274,1,1.217412913,Alegría,Alegría,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.357308727,0,,1,2.341428418,1,1.066558867,Tristeza,Tristeza,Post,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.604923342,0,,1,2.867030413,1,1.068666918,Enojo,Enojo,Post,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,1.865558807,1,1.785140769,1,2.664537414,1,1.225969956,Enojo,Tristeza,Post,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.337395625,1,1.165574057,1,2.895211374,1,1.126033087,Alegría,Alegría,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,1.915972279,1,1.098725214,1,1.676700979,1,1.217131628,Enojo,Enojo,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.26006144,1,1.911657412,1,2.37152938,1,1.704920656,Alegría,Alegría,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.988564534,1,1.631010474,1,2.973947239,1,1.385397243,Alegría,Tristeza,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,3.254963164,1,1.128800892,0,,1,1.22978349,Tristeza,Alegría,Post,Acierto,0,0,Acierto,0,0,Omisión,100,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,3.367478809,1,1.402499874,1,1.724233264,1,1.27346234,Alegría,Alegría,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,3.677399449,1,1.548766458,1,2.031988964,1,1.767426977,Enojo,Alegría,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,3.816897041,1,1.144727423,1,2.116219351,1,1.070056747,Tristeza,Enojo,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,3.681589872,1,1.376756446,1,3.096483237,0,,Enojo,Alegría,Post,Comisión,0,100,Acierto,0,0,Acierto,0,0,Omisión,100,0
SFN10M,Grupo identidad,10,1,3.356357022,0,,1,3.564978619,1,1.165302649,Alegría,Enojo,Post,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,3.829478186,1,1.017808212,1,2.489542313,1,1.324260997,Enojo,Tristeza,Post,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,2.760789144,1,1.810952542,1,1.923917767,1,1.553358659,Enojo,Tristeza,Post,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,,1,1.59211148,1,2.533255137,1,1.503124941,Tristeza,Enojo,Post,Omisión,100,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,3.52928911,0,,1,2.539348574,1,1.78900408,Enojo,Enojo,Post,Comisión,0,100,Omisión,100,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.188183457,1,1.412259486,1,2.717010739,1,1.114727202,Tristeza,Enojo,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.571929736,0,1.73169164,1,2.220076816,1,0.750858865,Tristeza,Tristeza,Post,Acierto,0,0,Comisión,0,100,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,1.757713981,1,1.577957197,0,,1,1.234278111,Tristeza,Enojo,Post,Acierto,0,0,Acierto,0,0,Omisión,100,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,1.885389737,1,1.123268838,1,2.430806069,1,1.951519172,Alegría,Alegría,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,3.054750858,1,1.761869244,1,2.25633798,1,1.091892221,Enojo,Tristeza,Post,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,,1,1.684097726,1,2.120710416,1,1.426159744,Alegría,Tristeza,Post,Omisión,100,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,0,1.907341359,1,1.563462371,1,2.766001198,1,0.902678047,Tristeza,Enojo,Post,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,3.058630367,0,1.851833562,1,1.682411206,1,0.941953139,Alegría,Tristeza,Post,Acierto,0,0,Comisión,0,100,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,2.460291919,0,,1,2.123680098,1,1.016680705,Tristeza,Enojo,Post,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SFN10M,Grupo identidad,10,1,1.607505863,0,1.107076035,1,2.02308071,1,0.872881677,Enojo,Alegría,Post,Acierto,0,0,Comisión,0,100,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,2.922691556,0,,1,3.068277729,0,,Tristeza,Alegría,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Omisión,100,0
SPM8M,Grupo emoción,8,1,2.406660346,1,1.468239407,1,2.257914469,1,1.598540247,Alegría,Tristeza,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,2.553141729,1,1.224235062,1,2.033012148,1,1.173829926,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,0,2.50675042,1,1.126826667,1,1.639954173,1,1.364314074,Tristeza,Tristeza,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,3.300085728,0,1.858199704,1,1.874494815,1,1.496596543,Enojo,Enojo,Pre,Acierto,0,0,Comisión,0,100,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,2.230420148,0,,1,2.431288494,1,1.123824988,Enojo,Tristeza,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,2.956730864,1,1.350145185,1,2.401194667,1,1.046600691,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,2.757187951,1,1.674173234,1,2.379665383,1,1.323481679,Enojo,Enojo,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,0,,1,0.840030815,1,1.547823012,0,,Alegría,Alegría,Pre,Omisión,100,0,Acierto,0,0,Acierto,0,0,Omisión,100,0
SPM8M,Grupo emoción,8,1,3.406072889,1,1.297063901,1,2.110413037,1,1.200347655,Alegría,Tristeza,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,2.327208692,1,1.200555852,1,2.34166163,1,1.042358518,Tristeza,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,2.898598321,1,1.529744593,1,1.472722568,1,0.939917827,Alegría,Alegría,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,0,3.030864198,1,1.484047012,1,1.954990222,1,1.284939457,Enojo,Alegría,Pre,Comisión,0,100,Acierto,0,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,0,,1,1.565976099,1,1.428933531,0,,Tristeza,Enojo,Pre,Omisión,100,0,Acierto,0,0,Acierto,0,0,Omisión,100,0
SPM8M,Grupo emoción,8,0,2.282182716,0,,1,1.527125333,0,1.249043358,Enojo,Alegría,Pre,Comisión,0,100,Omisión,100,0,Acierto,0,0,Comisión,0,100
SPM8M,Grupo emoción,8,1,3.243755457,0,1.746823506,1,1.555355259,1,1.716655407,Alegría,Enojo,Pre,Acierto,0,0,Comisión,0,100,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,0,2.823813531,0,,1,1.228879012,1,1.248186469,Enojo,Tristeza,Pre,Comisión,0,100,Omisión,100,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,0,1.95676958,0,1.427512494,1,1.643842765,1,1.827745185,Enojo,Tristeza,Pre,Comisión,0,100,Comisión,0,100,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,2.614849975,1,1.411576494,1,1.851201975,1,0.972403358,Tristeza,Enojo,Pre,Acierto,0,0,Acierto,0,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,1,3.683177481,0,,1,2.407862124,1,1.174721185,Enojo,Enojo,Pre,Acierto,0,0,Omisión,100,0,Acierto,0,0,Acierto,0,0
SPM8M,Grupo emoción,8,0,3.074856296,0,1.249877729,1,1.776376099,1,0.858411457,Tristeza,Enojo,Pre,Comisión,0,100,Comisión,0,100,Acierto,0,0,Acierto,0,0
