código,grupo,condición,evaluación,ms,µV,electrodo
DSB10M,2,Alegría,POST,554,-0.51,P3
DSB10M,2,Enojo,POST,542,0.92,P3
DSB10M,2,Identidad,POST,540,1.79,P3
DSB10M,2,Sexo,POST,568,13.79,P3
DSB10M,2,Tristeza,POST,560,6.15,P3
DSB10M,2,Alegría,PRE,542,0.98,P3
DSB10M,2,Enojo,PRE,598,6.34,P3
DSB10M,2,Identidad,PRE,546,4.8,P3
DSB10M,2,Sexo,PRE,538,11.51,P3
DSB10M,2,Tristeza,PRE,554,14.13,P3
SPM8M,1,Tristeza,POST,232,-2.66,T5
EHO8M,1,Sexo,PRE,246,-2.77,T5
ADA8M,2,Tristeza,PRE,228,-2.82,T5
EHO8M,1,Identidad,PRE,256,-2.91,T5
EDC10M,1,Enojo,POST,224,-2.99,T5
JSR9M,2,Alegría,PRE,238,-3.12,T5
HMA8M,1,Identidad,POST,228,-3.2,T5
JSR9M,2,Enojo,PRE,250,-3.21,T5
TOM8M,1,Tristeza,PRE,240,-3.25,T5
CLB8M,1,Sexo,PRE,236,-3.27,T5
DSB10M,2,Alegría,POST,222,-32.03,T6
DSB10M,2,Enojo,POST,222,-32.35,T6
DSB10M,2,Identidad,POST,218,-21.45,T6
DSB10M,2,Sexo,POST,224,-25.95,T6
DSB10M,2,Tristeza,POST,224,-26.6,T6
DSB10M,2,Alegría,PRE,222,-23.74,T6
DSB10M,2,Enojo,PRE,226,-25.24,T6
DSB10M,2,Identidad,PRE,230,-22.15,T6
DSB10M,2,Sexo,PRE,230,-26.07,T6
DSB10M,2,Tristeza,PRE,228,-25.68,T6
DSO8M,2,Alegría,POST,588,14.67,P3
DSO8M,2,Enojo,POST,632,30.18,P3
DSO8M,2,Identidad,POST,608,16.3,P3
DSO8M,2,Sexo,POST,612,19.53,P3
DSO8M,2,Tristeza,POST,618,21.21,P3
DSO8M,2,Alegría,PRE,598,16.73,P3
DSO8M,2,Enojo,PRE,574,15.86,P3
DSO8M,2,Identidad,PRE,612,23.14,P3
DSO8M,2,Sexo,PRE,618,22.97,P3
DSO8M,2,Tristeza,PRE,624,21.74,P3
SPM8M,1,Enojo,PRE,236,-3.29,T5
MRA8M,2,Identidad,PRE,252,-3.32,T5
KGJ9M,1,Enojo,PRE,218,-3.36,T5
MZH9M,2,Identidad,POST,234,-3.49,T5
TOM8M,1,Alegría,PRE,228,-3.51,T5
EDC10M,1,Alegría,POST,214,-3.65,T5
JOB10M,2,Enojo,PRE,226,-3.83,T5
AMA8M,2,Sexo,PRE,244,-3.9,T5
MCJ8M,1,Alegría,POST,252,-3.95,T5
ADA8M,2,Alegría,PRE,222,-4.04,T5
DSO8M,2,Alegría,POST,230,-23.99,T6
DSO8M,2,Enojo,POST,226,-15.85,T6
DSO8M,2,Identidad,POST,230,-29.38778571,T6
DSO8M,2,Sexo,POST,228,-27.46,T6
DSO8M,2,Tristeza,POST,236,-17.5,T6
