"","Variables","Corr","P_val"
"114","EPPPCP..CR-TR.mem.T.1",-0.246662346629488,0.129552222514702
"115","EPPPCP..CR-EO.mem.T.1",-0.132314530661047,0.329142268841745
"116","EPPPCP..CR-EC.mem.T.1",0.39317773362513,0.31603795155281
"117","EPPPCP..CR-RC.mem.E.1",0.0607632237774217,0.107658146839619
"118","EPPPCP..CR-TR.mem.E.1",-0.526510372528926,0.169802163633227
"119","EPPPCP..CR-EO.mem.E.1",-0.172227309265153,0.507331101176283
"120","EPPPCP..CR-EC.mem.E.1",0.123354100977749,0.24803460765946
"121","EPPPCP..CR-RC.emp.ID.1",-0.496495980977032,0.736593797277815
"122","EPPPCP..CR-TR.emp.ID.1",-0.266083822263901,0.181531204672988
"123","EPPPCP..CR-EO.emp.ID.1",0.00790455786968293,0.379136409185668
"124","EPPPCP..CR-EC.emp.ID.1",0.50312796146384,0.597009810550502
"125","EPPPCP..CR-RC.mem.ID.1",-0.0843629932356171,0.871504738566741
"126","EPPPCP..CR-TR.mem.ID.1",-0.271305173269746,0.538753922350483
"127","EPPPCP..CR-EO.mem.ID.1",-0.0598070437415528,0.180506187848112
"128","EPPPCP..CR-EC.mem.ID.1",0.0838878756050275,0.128379296086548
"129","EPPPCP..IE-RC.emp.A.1",0.497694218487777,0.427809921315692
"130","EPPPCP..IE-TR.emp.A.1",0.253248362657943,0.280315392743372
"131","EPPPCP..IE-EO.emp.A.1",-0.271771722567363,0.588908954994281
"132","EPPPCP..IE-EC.emp.A.1",-0.33767623641455,0.721751659197121
"133","EPPPCP..IE-RC.emp.T.1",0.15332716117879,0.384582755496393
"134","EPPPCP..IE-TR.emp.T.1",0.412715063827365,0.0664840397334456
"135","EPPPCP..IE-EO.emp.T.1",-0.00808480595677858,0.939904310512045
"136","EPPPCP..IE-EC.emp.T.1",-0.135416415955082,0.395218835928473
"137","EPPPCP..IE-RC.emp.E.1",-0.144787950108575,0.365360289923019
"138","EPPPCP..IE-TR.emp.E.1",0.390370762922319,0.0321967179796786
"139","EPPPCP..IE-EO.emp.E.1",0.437274943404359,0.142760601701449
"140","EPPPCP..IE-EC.emp.E.1",-0.0634944654562444,0.855695957404081
"141","EPPPCP..IE-RC.mem.A.1",-0.239193792686314,0.304684483915636
"142","EPPPCP..IE-TR.mem.A.1",0.192138424465621,0.264696380152151
"143","EPPPCP..IE-EO.mem.A.1",0.316125751541966,0.0708603838030405
"144","EPPPCP..IE-EC.mem.A.1",-0.0844341989023636,0.460732759251007
"145","EPPPCP..IE-RC.mem.T.1",-0.083558799464017,0.947386309287291
"146","EPPPCP..IE-TR.mem.T.1",0.351701673670118,0.129552222514702
"147","EPPPCP..IE-EO.mem.T.1",0.301152734394804,0.329142268841745
"148","EPPPCP..IE-EC.mem.T.1",-0.227773238522013,0.31603795155281
"149","EPPPCP..IE-RC.mem.E.1",0.433505981645696,0.107658146839619
"150","EPPPCP..IE-TR.mem.E.1",0.328235809358043,0.169802163633227
"151","EPPPCP..IE-EO.mem.E.1",-0.193567223574638,0.507331101176283
"152","EPPPCP..IE-EC.mem.E.1",-0.315918255399771,0.24803460765946
"153","EPPPCP..IE-RC.emp.ID.1",-0.0266469486061448,0.736593797277815
"154","EPPPCP..IE-TR.emp.ID.1",0.123342223792348,0.181531204672988
"155","EPPPCP..IE-EO.emp.ID.1",0.15635002785668,0.379136409185668
"156","EPPPCP..IE-EC.emp.ID.1",-0.0075736063971543,0.597009810550502
"157","EPPPCP..IE-RC.mem.ID.1",0.214658969733381,0.871504738566741
"158","EPPPCP..IE-TR.mem.ID.1",0.0102522886026533,0.538753922350483
"159","EPPPCP..IE-EO.mem.ID.1",0.335432219669229,0.180506187848112
"160","EPPPCP..IE-EC.mem.ID.1",0.52830920247675,0.128379296086548
