,Variables,Corr,P_val
181,SSIS.Emp.1-RC.mem.E.1,-0.403044437,0.767693283
182,SSIS.Emp.1-TR.mem.E.1,0.089252817,0.432631633
183,SSIS.Emp.1-EO.mem.E.1,0.463829954,0.939395443
184,SSIS.Emp.1-EC.mem.E.1,-0.034241757,0.647559479
185,SSIS.Emp.1-RC.emp.ID.1,-0.037794781,0.436836445
186,SSIS.Emp.1-TR.emp.ID.1,-0.114736799,0.730710664
187,SSIS.Emp.1-EO.emp.ID.1,-0.362233438,0.897770937
188,SSIS.Emp.1-EC.emp.ID.1,0.121155156,0.426658958
189,SSIS.Emp.1-RC.mem.ID.1,-0.159144625,0.70527077
190,SSIS.Emp.1-TR.mem.ID.1,0.119931585,0.817466266
191,SSIS.Emp.1-EO.mem.ID.1,0.005926535,0.506786433
192,SSIS.Emp.1-EC.mem.ID.1,0.246669973,0.548547892
193,SSIS.Comp.1-RC.emp.A.1,-0.087490719,0.240643276
194,SSIS.Comp.1-TR.emp.A.1,-0.292511029,0.907802216
195,SSIS.Comp.1-EO.emp.A.1,-0.235489612,0.559888321
196,SSIS.Comp.1-EC.emp.A.1,0.506482247,0.396792606
197,SSIS.Comp.1-RC.emp.T.1,-0.194504345,0.622638489
198,SSIS.Comp.1-TR.emp.T.1,-0.374047185,0.645736897
199,SSIS.Comp.1-EO.emp.T.1,-0.557725967,0.122885792
200,SSIS.Comp.1-EC.emp.T.1,0.55592624,0.128901672
201,SSIS.Comp.1-RC.emp.E.1,-0.267149456,0.840500497
202,SSIS.Comp.1-TR.emp.E.1,-0.395579289,0.632711906
203,SSIS.Comp.1-EO.emp.E.1,-0.640657842,0.215729863
204,SSIS.Comp.1-EC.emp.E.1,0.522903826,0.474085923
205,SSIS.Comp.1-RC.mem.A.1,0.604199185,0.337964333
206,SSIS.Comp.1-TR.mem.A.1,-0.030050333,0.955650398
207,SSIS.Comp.1-EO.mem.A.1,-0.404822122,0.713910487
208,SSIS.Comp.1-EC.mem.A.1,-0.218819887,0.527210934
209,SSIS.Comp.1-RC.mem.T.1,0.186268618,0.326939949
210,SSIS.Comp.1-TR.mem.T.1,-0.151650439,0.72096168
211,SSIS.Comp.1-EO.mem.T.1,-0.333269798,0.414957333
212,SSIS.Comp.1-EC.mem.T.1,0.179117866,0.971795677
